@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720882
@ CHARGE           %le                   1
@ ENERGY           %le                6370
@ PC               %le         6369.999931
@ GAMMA            %le         6789.075451
@ KBUNCH           %le                   1
@ BCURRENT         %le     1.801727616e-15
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   1
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le     0.0003485816653
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.56088321
@ Q1               %le         62.30912871
@ Q2               %le         60.31822008
@ DQ1              %le         1.948441984
@ DQ2              %le         1.742160085
@ DXMAX            %le         3.090108079
@ DYMAX            %le          2.18368004
@ XCOMAX           %le       0.00936689043
@ YCOMAX           %le       0.01042909308
@ BETXMAX          %le         4903.004876
@ BETYMAX          %le         4926.836528
@ XCORMS           %le     0.0008355023552
@ YCORMS           %le     0.0008122278681
@ DXRMS            %le         1.519413377
@ DYRMS            %le        0.3054235217
@ DELTAP           %le                   0
@ SYNCH_1          %le         9.291849058
@ SYNCH_2          %le      0.002244883795
@ SYNCH_3          %le      7.99769003e-07
@ SYNCH_4          %le     1.182237663e-06
@ SYNCH_5          %le     2.452301316e-08
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.06.01 Darwin 64"
@ DATE             %08s "20/10/20"
@ TIME             %08s "18.03.13"
* NAME                                S             BETA11             BETA12             ALFA11             ALFA12                MUX                MUY               BETX               BETY                 DX                 DY                R12                R21                R22                R11 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "BPM.31L2.B1"              1824.026244        170.0333985      0.07749681953       -2.338707308    -0.001101448956        4.481297377        4.125628773        170.0379324        33.22505327        1.702375036     -0.03624014573       -1.597948996   -0.0004028737415      0.02945449575      0.02276178203
 "BPM.30L2.B1"              1877.477728        33.63094236     0.009940593864       0.5192768795    0.0003723341857        4.595514815        4.262187276        33.63186826        172.3161104       0.8910453633     -0.05171804639      -0.8134079379   -0.0001444104577    -0.005248292478     -0.02762724611
 "BPM.29L2.B1"              1930.929212        173.4589238     0.001521984601       -2.374645057    3.794855852e-05        4.730368529        4.375421317        173.4602695        33.66193708        1.968825317     0.002178268625     -0.01946207496    0.0001594641427     0.007007439436    0.0006642881578
 "BPM.28L2.B1"              1984.380696         33.3559769     0.003940360386       0.5362364711   -0.0001220064722        4.843777394        4.511443161        33.35623573        171.0780582        1.163373546      0.06732640638      -0.6565813836    0.0003619372129     -0.01187457239      0.01935917164
 "BPM.27L2.B1"               2037.83218        169.9700764      0.06704043352       -2.337821536   -0.0009742501365        4.981236244         4.62594892        169.9705907         33.2906486        2.601999325      0.03760184298        -1.49123987   -0.0003765723858      0.02604760181      0.02167515534
 "BPM.26L2.B1"              2091.283665        33.62534175     0.009368069163       0.5188217545    0.0003294712174        5.095494196        4.762316736        33.62541592        172.3348124          1.2965942      0.05239560974      -0.7774118674   -0.0001666860483    -0.004862252821     -0.02710461954
 "BPM.25L2.B1"              2144.735149        173.3383735    0.0006048425114       -2.372923487    2.525540226e-05        5.230399756        4.875315404        173.3420116        33.78252174        2.332075392    -0.003395796758     -0.06323032035    0.0001948046029     0.004794891285     0.001808326617
 "BPM.24L2.B1"              2198.186633        33.52122367     0.005044251136       0.5371903301   -0.0001220614426        5.343533378        5.011058606        33.52191241         170.947572        1.025658613     -0.07141207905      -0.7926982599    0.0003227185399     -0.01366931042      0.01721168185
 "BPM.23L2.B1"              2251.638117        170.0741288       0.0731555169       -2.334045046    -0.001040285328        5.480465967        5.125779036        170.0785644        33.21621176        1.708589031     -0.03883181074       -1.551138924   -0.0003956110718      0.02893034025      0.02211269491
 "BPM.22L2.B1"              2305.089601        33.45854213     0.009404167206       0.5175429052    0.0003516233577        5.595024611        5.262274483        33.45944295        172.4800903       0.8935537032      -0.0519105915      -0.7855701594   -0.0001345428004    -0.005003900417     -0.02650263342
