sequence: LHCB1, l=26658.8832
idx  kind          name                    l          dl       spos       upos    uds
418  octupole      MO.33R1.B1              0.320       0    1610.811   1610.971   0.160
419  quadrupole    MQ.33R1.B1              3.100       0    1611.432   1612.982   1.550
420  sextupole     MSS.33R1.B1             0.369       0    1614.693   1614.877   0.185
421  hkicker       MCBH.33R1.B1            0.647       0    1615.147   1615.470   0.323
422  marker        E.CELL.12.B1            0.000       0    1616.217   1616.217   0.000
423  multipole     MCO.A34R1.B1            0.000       0    1616.561   1616.561   0.000
424  multipole     MCD.A34R1.B1            0.000       0    1616.563   1616.563   0.000
425  sbend         MB.A34R1.B1            14.300       0    1616.898   1624.048   7.150
426  sextupole     MCS.A34R1.B1            0.110       0    1631.417   1631.472   0.055
427  sbend         MB.B34R1.B1            14.300       0    1632.558   1639.708   7.150
428  sextupole     MCS.B34R1.B1            0.110       0    1647.077   1647.132   0.055
429  multipole     MCO.B34R1.B1            0.000       0    1647.882   1647.882   0.000
430  multipole     MCD.B34R1.B1            0.000       0    1647.884   1647.884   0.000
431  sbend         MB.C34R1.B1            14.300       0    1648.219   1655.369   7.150
432  sextupole     MCS.C34R1.B1            0.110       0    1662.738   1662.793   0.055
433  monitor       BPM.34R1.B1             0.000       0    1663.672   1663.672   0.000
434  octupole      MO.34R1.B1              0.320       0    1664.263   1664.423   0.160
435  quadrupole    MQ.34R1.B1              3.100       0    1664.884   1666.434   1.550
436  sextupole     MS.34L2.B1              0.369       0    1668.144   1668.329   0.185
437  vkicker       MCBV.34L2.B1            0.647       0    1668.598   1668.922   0.323
438  sbend         MB.C34L2.B1            14.300       0    1670.349   1677.499   7.150
439  sextupole     MCS.C34L2.B1            0.110       0    1684.868   1684.923   0.055
440  multipole     MCO.34L2.B1             0.000       0    1685.673   1685.673   0.000
441  placeholder   MCD.34L2.B1             0.000       0    1685.675   1685.675   0.000
442  sbend         MB.B34L2.B1            14.300       0    1686.010   1693.160   7.150
443  sextupole     MCS.B34L2.B1            0.110       0    1700.529   1700.584   0.055
444  sbend         MB.A34L2.B1            14.300       0    1701.670   1708.820   7.150
445  sextupole     MCS.A34L2.B1            0.110       0    1716.189   1716.244   0.055
446  monitor       BPM.33L2.B1             0.000       0    1717.123   1717.123   0.000
447  octupole      MO.33L2.B1              0.320       0    1717.714   1717.874   0.160
448  quadrupole    MQ.33L2.B1              3.100       0    1718.335   1719.885   1.550
449  sextupole     MSS.33L2.B1             0.369       0    1721.596   1721.780   0.185
450  hkicker       MCBH.33L2.B1            0.647       0    1722.050   1722.373   0.323
451  multipole     MCO.B33L2.B1            0.000       0    1723.464   1723.464   0.000
452  multipole     MCD.B33L2.B1            0.000       0    1723.466   1723.466   0.000
453  sbend         MB.C33L2.B1            14.300       0    1723.801   1730.951   7.150
454  sextupole     MCS.C33L2.B1            0.110       0    1738.320   1738.375   0.055
455  sbend         MB.B33L2.B1            14.300       0    1739.461   1746.611   7.150
456  sextupole     MCS.B33L2.B1            0.110       0    1753.980   1754.035   0.055
457  multipole     MCO.A33L2.B1            0.000       0    1754.785   1754.785   0.000
458  multipole     MCD.A33L2.B1            0.000       0    1754.787   1754.787   0.000
459  sbend         MB.A33L2.B1            14.300       0    1755.122   1762.272   7.150
460  sextupole     MCS.A33L2.B1            0.110       0    1769.641   1769.696   0.055
461  monitor       BPM.32L2.B1             0.000       0    1770.575   1770.575   0.000
462  octupole      MO.32L2.B1              0.320       0    1771.166   1771.326   0.160
463  quadrupole    MQ.32L2.B1              3.100       0    1771.787   1773.337   1.550
464  sextupole     MS.32L2.B1              0.369       0    1775.047   1775.232   0.185
465  vkicker       MCBV.32L2.B1            0.647       0    1775.501   1775.825   0.323
466  sbend         MB.C32L2.B1            14.300       0    1777.252   1784.402   7.150
467  sextupole     MCS.C32L2.B1            0.110       0    1791.771   1791.826   0.055
468  multipole     MCO.32L2.B1             0.000       0    1792.576   1792.576   0.000
469  multipole     MCD.32L2.B1             0.000       0    1792.578   1792.578   0.000
470  sbend         MB.B32L2.B1            14.300       0    1792.913   1800.063   7.150
471  sextupole     MCS.B32L2.B1            0.110       0    1807.432   1807.487   0.055
472  sbend         MB.A32L2.B1            14.300       0    1808.573   1815.723   7.150
473  sextupole     MCS.A32L2.B1            0.110       0    1823.092   1823.147   0.055
474  monitor       BPM.31L2.B1             0.000       0    1824.026   1824.026   0.000
475  octupole      MO.31L2.B1              0.320       0    1824.617   1824.777   0.160
476  quadrupole    MQ.31L2.B1              3.100       0    1825.238   1826.788   1.550
477  sextupole     MS.31L2.B1              0.369       0    1828.499   1828.683   0.185
478  hkicker       MCBH.31L2.B1            0.647       0    1828.953   1829.276   0.323
479  multipole     MCO.B31L2.B1            0.000       0    1830.367   1830.367   0.000
480  multipole     MCD.B31L2.B1            0.000       0    1830.369   1830.369   0.000
481  sbend         MB.C31L2.B1            14.300       0    1830.703   1837.853   7.150
482  sextupole     MCS.C31L2.B1            0.110       0    1845.223   1845.278   0.055
483  sbend         MB.B31L2.B1            14.300       0    1846.364   1853.514   7.150
484  sextupole     MCS.B31L2.B1            0.110       0    1860.883   1860.938   0.055
485  multipole     MCO.A31L2.B1            0.000       0    1861.688   1861.688   0.000
486  multipole     MCD.A31L2.B1            0.000       0    1861.690   1861.690   0.000
487  sbend         MB.A31L2.B1            14.300       0    1862.024   1869.174   7.150
488  sextupole     MCS.A31L2.B1            0.110       0    1876.544   1876.599   0.055
489  monitor       BPM.30L2.B1             0.000       0    1877.478   1877.478   0.000
490  octupole      MO.30L2.B1              0.320       0    1878.069   1878.229   0.160
491  quadrupole    MQ.30L2.B1              3.100       0    1878.690   1880.240   1.550
492  sextupole     MS.30L2.B1              0.369       0    1881.950   1882.135   0.185
493  vkicker       MCBV.30L2.B1            0.647       0    1882.404   1882.728   0.323
494  sbend         MB.C30L2.B1            14.300       0    1884.155   1891.305   7.150
495  sextupole     MCS.C30L2.B1            0.110       0    1898.674   1898.729   0.055
496  multipole     MCO.30L2.B1             0.000       0    1899.479   1899.479   0.000
497  multipole     MCD.30L2.B1             0.000       0    1899.481   1899.481   0.000
498  sbend         MB.B30L2.B1            14.300       0    1899.815   1906.965   7.150
499  sextupole     MCS.B30L2.B1            0.110       0    1914.335   1914.390   0.055
500  sbend         MB.A30L2.B1            14.300       0    1915.476   1922.626   7.150
501  sextupole     MCS.A30L2.B1            0.110       0    1929.995   1930.050   0.055
502  monitor       BPM.29L2.B1             0.000       0    1930.929   1930.929   0.000
503  octupole      MO.29L2.B1              0.320       0    1931.520   1931.680   0.160
504  quadrupole    MQ.29L2.B1              3.100       0    1932.141   1933.691   1.550
505  sextupole     MSS.29L2.B1             0.369       0    1935.402   1935.586   0.185
506  hkicker       MCBH.29L2.B1            0.647       0    1935.856   1936.179   0.323
507  multipole     MCO.B29L2.B1            0.000       0    1937.270   1937.270   0.000
508  multipole     MCD.B29L2.B1            0.000       0    1937.272   1937.272   0.000
509  sbend         MB.C29L2.B1            14.300       0    1937.606   1944.756   7.150
510  sextupole     MCS.C29L2.B1            0.110       0    1952.126   1952.181   0.055
511  sbend         MB.B29L2.B1            14.300       0    1953.267   1960.417   7.150
